Name ,Sex,Height (in),Components Score
Yuzuru HANYU,M,67,96.62
Shoma UNO,M,63,92.72
Javier FERNANDEZ,M,68,96.14
JIN Boyang,M,67,85.76
Nathan CHEN,M,65,87.44
Vincent ZHOU,M,67,79.92
Dmitri ALIEV ,M,70,85.14
Mikhail KOLYADA,M,69,87.94
Patrick CHAN,M,66,91.86
Adam RIPPON,M,67,86.94
Alexei BYCHENKO,M,69,83.8
Keegan MESSING,M,64,85.44
Daniel SAMOHIN,M,69,81.72
Jorik HENDRICKX,M,69,82.42
CHA Junhwan ,M,69,81.22
Michal BREZINA,M,68,84.34
Misha GE,M,68,86.08
Keiji TANAKA,M,68,81.14
Deniss VASILJEVS,M,68,80.64
Brendan KERRY,M,68,77.42
Matteo RIZZO,M,67,75.92
Paul FENTZ,M,70,72.84
YAN Han,M,67,79.58
Morisi KVITELASHVILI,M,71,70.66
Alina ZAGITOVA ,F,61,75.03
Evgenia MEDVEDEVA,F,63,77.47
Kaetlyn OSMOND,F,64,75.65
Satoko MIYAHARA,F,60,71.24
Carolina KOSTNER,F,67,75.65
Kaori SAKAMOTO,F,62,68.11
CHOI Dabin ,F,61,62.75
Maria SOTSKOVA,F,68,67.3
Bradie TENNEL ,F,66,62.93
Mirai NAGASU,F,63,62.05
Karen CHEN,F,60,64.1
Elizabet TURSYNBAEVA,F,59,58.8
KIM Hanul,F,66,54.35
Nicole RAJICOVA,F,64,56.8
Gabrielle DALEMAN,F,60,61.75
Loena HENDRICKX,F,63,55.99
Kailani CRAINE,F,63,53.95
Nicole SCHOTT ,F,65,56.58
Mae Berenice MEITE,F,66,52.12
Emmi PELTONEN,F,64,56.45
Alexia PAGANINI ,F,66,50.06
LI Xiangning,F,57,51.41
Ivett TOTH,F,61,50.39
Isadora WILLIAMS,F,61,51.05
